OTU,Buttisholz_downstream,Buttisholz_upstream,Herisau_downstream,Herisau_upstream,Hochdorf_downstream,Hochdorf_upstream,Steinach_downstream,Steinach_upstream
Otu1,0.06859592237676397,0.06244168389469255,0.034971259799163955,0,0.0972626570006262,0.10095465210071498,0,0
Otu10,0,0,0.07346229307596022,0,0,0,0,0
Otu109,0,0,0,0,0,0,0,0.01932577688770251
Otu11,0.02593661145690962,0.02017965934246876,0,0,0,0,0,0
Otu12,0,0,0,0,0,0.014888086482018132,0,0
Otu120,0,0,0,0,0,0,0,0.014401537765719613
Otu13,0,0,0,0.02607819379483869,0,0,0.03351734799095512,0.023791608479285093
Otu14,0,0,0,0,0,0.015382413133267346,0,0
Otu16,0,0,0,0,0,0,0.022647429996073953,0.01644703960616216
Otu17,0,0,0,0,0,0.023032161755585753,0,0
Otu183,0,0,0,0.014539800426600457,0,0,0,0
Otu184,0,0.018459905962421558,0,0,0,0,0,0
Otu2,0.021679283235228143,0.029107740719735084,0.02148618955828777,0.021193350283125887,0.022315147179603614,0.02383620493938917,0.01592182409614761,0
Otu21,0,0,0,0,0.02375115414781804,0.021676363658010726,0,0
Otu23,0,0,0,0,0,0.01942082833309645,0,0
Otu234,0,0,0,0,0,0.014986405708964156,0,0
Otu3,0,0,0,0.033301522768933785,0,0,0.015131787885780167,0.04782877824575755
Otu31,0,0,0.014729596541732438,0,0,0,0,0
Otu4,0.02581425742601501,0.0180025247443239,0,0,0,0.0144832123446477,0,0
Otu5,0.018182397063036915,0,0.019595568059857633,0.029633488094774472,0,0,0.026697094575720084,0.030417727406209193
Otu60,0,0,0,0,0,0.018615261619893037,0,0
Otu64,0,0,0,0,0.014474136851332534,0,0,0
Otu7,0,0,0,0,0,0.040709607143360464,0,0
Otu8,0,0.028028321045024607,0,0,0.028912795707443813,0.05314541424198628,0,0
Otu9,0,0,0,0,0,0,0,0.015008525217634775
